Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Rhetan TMT Ltd,543590,,Industrial Products,19.21,6.58,123.5,16.29,0.06,235.8,312.41,308.02,1530.8,43.04,,128.98,6.11,66.96,0.3,3.45,4.63,7.89,21.97,235.8,477.11,156.47,-17.85,13.18,28.37,60.15,9.68,16.66,,-37.5,5.47,3.34,17.14,62.7,,28.33,26.49,23.94,8.29,8.95,27.71,4.52,16.31,22,73.35,-35.83,-57.56,-24.78,-46.24,-13.89,-14.16,,,3.32,4.56,0
RHI Magnesita,534076,RHIM,Industrial Products,474.55,11.04,5154.8,2.45,7.99,33.42,59.43,26.27,9799.53,-20.72,19.78,-9.32,8.64,2.61,99.2,255.4,5.7,8.8,5.37,39.54,73.84,84.28,22.49,21.5,-8.91,8.44,-16.16,-2.69,,-14.12,309.45,241.1,8.71,17.63,,36.36,64.71,70.61,282.5,227.5,731.65,516.16,2729.69,379.74,1493.68,641.95,687.28,881.94,1074.61,-1575.73,-1724.4,63.9,67.07,2.59,2.83,0
Riba Textiles,531952,,Textiles & Apparels,84.68,8.76,181.45,0.84,8.38,8.33,10.1,4.66,81.74,7.74,16.45,25.59,9.28,0.29,2.54,2.75,4.64,10.35,3.5,8.49,24.49,54.71,8.04,10.81,20.24,4.17,20.24,4.17,8.54,0,13.84,6.91,12.79,6.31,5.63,7.21,66.32,44.23,82.6,76.31,19.45,5.43,99.45,61.39,20.98,20.56,19,52.69,67.77,-32.9,-49.02,76.73,71.67,7.41,6.7,0
Rich Universe,530271,,Finance,9.96,-0.03,19.19,1.02,-0.44,66.69,,80.79,7.22,10.3,9.59,10.66,-1.67,,0.03,0.09,-0.63,-2.16,1.09,67.14,0,0,,,,7.76,,7.76,,-2.26,0.01,0,,7.76,,-62.3,1.62,1.45,0,0,6.78,6.95,0,1.56,0.34,0.07,0.07,0.07,0.07,0,0,10.2,10.15,262,705,0
Richa Industries,532766,,Construction,1.55,,254.76,,-4.83,,,,3.63,-30.49,11.24,-8.3,,0.1,3.61,,,0,-1.16,,0,0,,-3.73,,12.51,,12.51,9.55,,,,,6.73,9.59,-17.74,,311.48,,101.52,,-283.57,115.34,221.2,-155.8,,,,,,,,-107.39,,2.95,
Richa Info,,RICHA,IT - Hardware,52,9.49,117.37,0.53,5.07,21.69,10.25,-0.64,53.71,-38.1,,-23.58,8.23,0.42,1.04,-83.97,3.71,10.15,4.29,21.69,162.14,179.07,58.4,48.71,69.82,73.85,4.84,-56.61,,-54.47,3.22,1.71,56.76,58.06,,14.52,15.3,2.69,0.48,0.32,20.54,1.02,0.17,7.65,101.35,-74.01,-90.45,-70.38,-86.47,-6.4,-6.75,51.56,,9.75,9.68,0
Richfield Fin,539435,,Finance,34.4,3.4,35.1,3.06,0.24,62.15,143.33,-1.23,25.8,18.62,57.05,99.08,3.2,4.43,4.82,-21.2,2.59,3.47,1.95,68.65,-49.97,0,116.61,64.75,-2.44,19.61,-2.44,19.61,-4.54,0,0.33,0.27,17.57,23.97,5.39,145.51,0,0,0,0,8,0.21,0.17,25.81,5.34,-28.79,-26.34,-28.37,-25.92,-3.08,2.29,10.59,10.49,,,0
Rico Auto Inds,520008,RICOAUTO,Auto Components,101.79,3.94,1993.21,1.89,2.36,23.04,41.92,7.13,1377.22,-16.86,26.72,21.11,5.45,0.62,19.9,51.72,2.05,8.43,2.85,27.3,-18.65,60,5.96,9.57,-2.8,4.21,-2.8,4.21,-12.34,0.02,93.09,26.19,5.58,8.81,4.77,4.92,599.14,417.83,825.28,691.51,-157.21,10.59,1094.78,697.33,-108.25,104.33,25.76,600.25,839.22,-463.88,-762.46,46.84,44.78,4.37,4.1,0
Riddhi Corporate,540590,,IT - Services,71.7,16.5,194.02,1.24,11.19,24.52,6.41,2.29,85.09,-8.52,-15.25,-18.05,17.08,0.28,19.47,27.6,4.6,11.34,3.36,21.14,4.23,54.67,32.92,25.93,29.46,58.82,27.65,57.48,45.77,-3.57,14.84,7.15,21.2,52.12,50.12,27.09,140.9,4.79,139.91,2.03,-11.54,6.54,97.36,94.39,38.76,4.81,15.27,23.9,42.03,-28.56,-42.46,29.89,24.76,,,0
Riddhi Siddhi Gl,524480,,Commercial Services & Supplies,554.1,1.52,1784.36,0.26,-14.92,8.04,9.9,-13.9,395.06,-18.88,16.33,10.57,3.52,1.43,0.23,-73.19,2.66,4.27,2.11,8.1,891.1,51.63,-15.34,-25.14,234.95,19.7,234.95,19.7,22.94,-0.35,58.24,22.49,1.44,-1.54,4.49,-22.56,155.02,270.92,737.67,747.53,383.23,630.12,434.2,100.67,344.45,-70.42,226.28,-18.85,272.37,49.99,-71.2,2110.07,2037.63,1.26,2.01,0
Riddhi Steel,540082,,Industrial Products,85,7.56,200.92,1.13,9.16,10.25,9.28,5.55,70.47,-6.85,41.47,41.42,9.55,0.18,8.05,11.66,2.72,10.28,3.81,12.86,74.95,61.69,8.97,6.1,45.19,20.08,45.19,20.08,13.44,1.09,16.95,3.92,8.08,5.91,5.82,8.26,125.89,99.13,27.51,28.97,76.23,59.8,21.74,130.07,85.9,35.06,20.22,38.81,27.17,-0.03,1.55,59.17,56.17,4.67,7.22,0
Rikhav Securitie,544340,,Capital Markets,69,,290.67,1.17,6.18,9.55,11.16,-1.41,264.21,,,,22.23,0.83,-16.14,-188.9,11.92,27.55,4.23,9.55,-282.41,22.79,107.66,,10.34,,-44.04,,,,,,10.28,,,110.55,15.06,,0.89,,-55.77,,2.25,0.19,49.39,-152.66,,-149.93,,72.71,,,,,,0
RIR Power Electr,517035,,Electrical Equipment,268.4,12.89,152,17.63,0.94,55,286.46,518.55,2059.63,8.91,140.87,124.79,13.5,23.9,4.79,-74.4,10.77,18.93,23.84,76.21,141.33,107.51,26.76,20.75,33.25,42.28,28.94,39.51,37.93,-10.25,8.34,5.55,27.37,29.91,20.41,29.13,6.86,5.55,7.77,7,17.14,17.43,55.53,14.65,32.95,-77.57,-75.51,2.73,8.02,-81.86,-87.13,3.75,3.17,1.97,1.47,0
Risa Internatio.,530251,,Commercial Services & Supplies,0.68,-36.11,7.21,,-0.57,,,67.79,10.85,-35.24,,-2.78,-71.08,,0,0.16,-47.86,-145.59,-3.77,,0,0,,,,2.42,,2.42,,0,-5.52,-5.56,,2.69,,,0.67,0.01,0,0.02,15.57,17.94,0,2.08,-8.48,0.24,-0.42,0.24,-0.55,0,0.13,1.28,1.31,,,
Rish.Digh.Steel,531539,,Industrial Products,35.5,-2.52,18.59,1.08,0.31,12.66,114.59,-22.44,19.48,6.03,8.37,14.74,-1.67,18.55,0.05,-0.87,-2.38,-2.11,3.19,2.06,-22501.38,269.4,,-16.06,29.7,-27.52,29.7,-27.52,-33.42,0.44,-0.24,-0.26,34.02,-33.09,-34.43,-100,0.49,0.06,1.59,1.74,-0.36,0.04,0.03,0,0.79,16.21,16.67,14.94,15.58,-11.89,-22.55,12.83,13.63,,,0
Rishabh Instrum.,543977,RISHABH,Electrical Equipment,476.15,9.32,885.91,2.99,10.07,39.86,47.37,28.15,1828.86,27.09,,,7.58,2.47,198.08,-11.08,5.44,9.65,5.78,39.86,73.78,71.46,15.28,12.45,-21.64,-5.72,-43.2,-22.28,,,54.12,38.15,-8.58,-1.6,,20.59,103.32,103.58,219.61,180.65,161.67,126.51,310.57,98.03,348.21,-5.33,9.82,168.5,234.71,-180.32,-213.05,,,2.04,2.2,0
Rishabh Sp. Yarn,514177,,Textiles & Apparels,54.87,,0.77,150.29,-0.7,,,,19.54,-30.38,,8.38,-38.1,,0,0,-17.76,-23.79,38.95,,0,0,,,-5.57,-4.9,-5.57,-4.9,,-44.23,-0.15,-0.15,-3.45,-11.81,,-100,0.14,1.58,0,0.03,-0.01,-1.3,0,0.43,-0.51,-0.01,-0.07,-0.01,-0.09,0,0.01,1.57,0.39,,,
Rishi Laser,526861,,Industrial Manufacturing,137.9,8.61,119.97,1.78,9.14,11,15.09,14.34,126.73,-4.9,79.65,83.96,14.47,0.82,3.38,-5.24,7.72,15.15,4.19,12.51,-10.42,41.73,8.87,10.58,229.21,26.02,229.21,26.02,74.34,0.32,6.46,3.85,28.44,80.54,9.59,7.57,16.21,17.06,56.02,51.59,-9.43,-10.61,67.52,19.27,4.8,8.45,18.03,24.31,34.15,-18.48,-22,43.56,34.98,7.21,4.47,3.24
Rishi Techtex,523021,,Industrial Products,46.74,4.27,75.05,1.01,3.48,15.21,13.44,6.65,34.55,-24.64,25.51,16.65,4.97,0.27,1.3,3.6,2.15,8.71,3.6,18.56,38.8,54.48,7.59,10.51,20.95,18.13,20.95,18.13,-1.35,0.29,4.46,1.28,10.68,6.47,4.56,6.36,23.09,20.41,24.07,21.83,14.52,9.68,22.1,24.02,15,13.2,12.68,19.16,24.97,-5.56,-11.61,39.75,37.98,3.03,2.44,0
Rishiroop,526492,,Industrial Products,127.15,13.75,152.54,0.88,12.17,7.57,10.45,85.39,116.52,-29.81,30.03,6.27,12.01,1.57,3.6,1.16,10.62,15.07,3.36,7.85,57.88,52.97,-4.13,12.89,-14.86,39.88,-14.86,40.89,4.87,0.18,17.46,13.76,-12.69,48.71,2.46,5.09,0.06,0,2.53,1.85,23.04,17.43,1.9,0.43,17.23,22.18,25.09,22.58,27.33,-17.08,-7,102.29,89.11,3.77,2.94,0
Rita Finance and,543256,,Finance,24.52,5.3,19.04,1.52,0.58,39.23,42.28,350.29,24.52,11.51,,10.04,3.89,22.92,0.17,0.07,3.44,4.77,3.42,39.23,-85.53,0,-8.85,16.5,-19.96,64.38,-19.96,40.63,35.53,-42.25,1.06,0.74,-26.75,139.62,41.37,-9.93,6.47,0.86,0.02,0.03,-0.19,1.17,0.01,2.52,-0.12,-0.81,-7.68,-0.81,-7.67,7.32,1.28,,,,,0
Ritco Logistics,542383,RITCO,Transport Services,271.05,16.47,652.05,2.38,17.75,16.79,15.4,-77.52,775.82,-15.68,75.78,6.6,19.03,0.6,19.25,-107.84,8.08,16.11,5.44,18.56,51.49,116.35,26.48,19.42,43.53,39.54,36.71,35.53,18.33,-10.75,52.3,25.59,32.51,20.09,19.6,24.55,172.67,134.07,21.57,41.65,110.55,98.89,147.23,315.82,217.58,-141.05,-160.23,15.02,-4.79,-166.49,-161.86,50.64,43.92,,,0
Rite Zone,,RITEZONE,Chemicals & Petrochemicals,25.65,7.61,21.52,0.72,2.1,21.66,12.19,-359.1,10.85,-38.12,,,7.64,0.41,2.45,-0.34,5.19,10.03,3.97,21.66,145.28,160.8,74.51,35.43,54.78,34.79,38.57,-59.78,,,0.93,0.62,19.49,21.4,,18.97,1.06,2.59,2.09,1.37,3.9,1.57,1.84,0.96,13.96,-4.93,-8.58,-4.41,-6.94,-0.52,-1.64,,,,,0
Rites,541556,RITES,Construction,262.19,18.27,6120.81,4.77,8.03,15.02,32.66,19.78,12600.95,-20.77,16.74,20.33,17.76,5.67,3375.12,504.79,8.44,25.63,4.9,16.18,-233.72,127.21,-5.9,-2.17,-9.26,-8.96,-9.26,-8.23,2.25,0,685.45,465.09,-6.61,-6.6,1.88,-6.67,27.59,47.47,559.89,590.48,1592.47,2000.51,884.3,9.03,1679.34,1224.06,1828.1,1628.43,2453.76,-357.29,-101.05,51.78,49.77,2.96,0.38,35.49
Ritesh Intl.,519097,,Chemicals & Petrochemicals,35.25,11.52,38.06,1.33,4.15,12.65,8.12,17.32,30.14,33.47,27.09,-25.59,7.58,0.22,0.22,-2.46,4.69,10.61,6.52,12.72,25.69,11.47,-2.8,24.2,-2.77,62.6,-2.77,62.6,65.56,-7.61,3.22,2.04,0.7,44.21,33.19,54.17,6.82,1.68,8.39,7.55,9.29,4.41,14.17,9.86,10.39,-0.69,0.74,8.15,11.64,-9.09,-11.03,21.03,16.92,10.93,8.07,0
Rithwik Facility,540843,,Commercial Services & Supplies,162.75,11.74,33.04,2.09,11.44,12.51,14.23,8.06,49.8,46.62,26.62,42.71,14.72,1.17,5.42,5.09,10.71,20.23,5.35,13.63,-4.38,28.66,23.42,10.09,57.84,16.51,57.84,16.51,27.76,0,3.07,2.08,48.19,16.08,23.02,14.29,1,0.49,2.48,1.58,1.52,2.41,3.07,2.68,3.31,8.77,11.12,10.21,14.05,-7.71,-11.5,51.67,48.76,,,0
RKD Agri,511169,,Agricultural Food & other Products,5.39,,5.16,6.78,-0.04,332,,-45.62,31.5,13.95,-13.3,,,11.45,0.31,-0.69,0.06,0.64,12.51,332,472.33,248.9,28.39,3.81,,-30.12,,14.18,7.35,-1.42,0.02,-0.01,,,,11.69,3.3,2.97,0.1,0.09,-0.91,-1.44,0.57,0.62,4.69,-2.26,-2.58,-2.26,-2.58,0,0,-1.46,-1.5,0.48,0.63,0
RKEC Projects,,RKEC,Construction,73.45,9.6,573.39,0.92,7.53,9.42,10.5,16.71,189.65,-37.71,14.18,11.35,10.85,0.49,44.8,-25.77,4.05,16.43,2.21,12.51,94.46,179.17,24.12,6.02,47.2,-12.94,47.2,-12.94,-0.23,-7.17,40.5,14.21,30.25,-3.85,5.61,13.71,149.21,69.56,52.14,32.97,133.06,67.89,100.72,194.27,123.13,-34.43,-62.68,44.87,21.2,-69.99,-68.87,56.8,55.38,1.3,1.15,0
RLF,512618,,Textiles & Apparels,9.06,-1.51,32.62,0.33,-0.28,111.11,,19.7,9.05,-8.85,30.43,13.11,-0.56,9.53,0.03,0.28,-0.49,0.02,1.61,133.89,-141.02,274.95,,18.61,21.54,10.84,21.54,10.84,7.25,26.9,-0.24,-0.4,37.51,44.65,-7.24,-41.94,3.97,5.51,19.59,23.03,0.06,-0.66,26.11,3.66,-1.24,0.28,-0.37,0.55,0.18,-0.28,1.96,24.15,25.03,0.38,0.14,0
RMC Switchgears,540358,,Electrical Equipment,764.3,26.34,268.51,7.52,29.84,30.67,25.61,52.04,804.56,-19.63,130.8,196.47,34.23,2.54,9.51,5.64,12.88,32.81,7.49,34.87,89.79,176.75,96.72,39.73,278.34,148.72,260.41,141.58,40.44,-4.2,23.01,12.11,106.06,45.34,27.69,37.62,41.5,40.72,29.24,28.61,17.31,18.98,29.96,58.65,74.66,7.18,12.89,22.86,34.19,-26.69,-32.35,31.33,30.7,2.5,2.52,0
RNFI Services,,RNFI,Finance,302,,279.46,6.72,7.29,34.83,41.43,25.25,753.57,106.99,,,29.94,0.82,119.21,6.47,6.34,27.9,8.79,34.83,-19.17,9.69,69.5,,50.79,,-76.05,,,,14.35,9.45,63.68,,,-1.97,11.66,,9.55,,5.21,,57.13,17.73,67.29,-2.42,9.2,56.89,82.43,-65.3,-79.16,,,10.79,,0
Roadstar Infra,544374,ROADSTAR,Transport Infrastructure,72,,9458.89,,-0.08,553.85,562.9,4.34,3279.44,,,,,3.52,768.88,703.21,,4.82,1.56,553.85,28.5,6.22,,,,,,,,,,,,,,35.14,,,,,,,7044.27,3668.56,843.37,1645.2,,1699.19,,163.59,,,,,,
Robust Hotels,543901,RHL,Leisure Services,283.55,0.64,905.7,0.68,11.06,46.54,25.63,9.03,490.31,41.94,,,4.34,3.51,11.43,49.27,3.73,3.42,2.49,46.54,180.25,23.85,49.45,8,37.43,26.42,,,,,10.03,3.3,231.96,23.29,,15.16,190.65,151.55,494.34,517.63,-95.34,-68.74,640.16,154.4,152.83,91.63,85.26,110.55,113.47,-85.07,-93.86,,,6.01,5.33,0
Rockingdeals Cir,,ROCKINGDCE,Commercial Services & Supplies,215.7,,54.29,3.01,9.61,21.93,22.44,38.18,122.06,-65.65,,,18.6,2.2,0.66,-6.78,14.13,25.22,6.71,21.93,139.81,52.8,55.2,,238.71,,-5.58,,,,3.78,2.43,134.77,,,11.86,4.06,,4.07,,1.17,,12.92,7.49,25.22,-23.58,-24.12,-11.7,-12.64,-13,-12.59,,,2.56,,0
Rodium Realty,531822,,Realty,204,0.76,166.35,3.74,25.19,47.03,8.1,11.49,66.26,96.15,24.03,57.72,9.92,0.98,5.9,3.48,1.3,5.48,1.85,23.26,227.41,165.11,68.4,10.22,78.62,89.71,78.62,89.71,43.84,1.84,3.87,0.11,130.11,19.75,19.63,13.05,91.69,88.26,0.19,0.13,24.02,19.85,1.92,104.36,49.25,3.79,-2.51,6.15,-0.12,-3.11,0.81,39.78,40.8,-0.08,0.1,0
Rolcon Engg. Co.,505807,,Industrial Products,914.3,14.29,38.18,2.71,51.32,12.67,17.91,20.15,69.49,-23.82,,52.56,14.42,1.29,8.51,0.84,8.94,19.91,5.94,12.68,18.72,63.34,11.63,10,11.54,54.88,11.54,54.88,57.07,0,3.4,2.41,6.46,27.26,25.51,13.25,0.29,0.09,5.81,4.43,6.74,5.41,8.05,0.83,11.87,2.61,4.87,6.54,11.44,-4.8,-8.05,194.58,153.97,5.56,3.27,0
Rolex Rings,543325,ROLEXRINGS,Auto Components,1386.9,24.43,1282.21,3.52,63.62,30.12,20.47,16.6,3776.99,-44.61,,-9.7,23.12,3.33,67.98,177.12,17.45,27.55,7.93,30.12,121.41,65.55,4.34,11.64,12.82,29.02,12.82,25.78,12.38,-4.29,205.48,157.01,3.84,15.51,6.93,3.63,222.92,259.09,379.66,374.27,200.13,-2.81,444.41,14.15,611.56,516.76,526.9,662.15,780.24,-393.26,-497.35,200.05,,2.49,2.25,53.82
Rollatainers,502448,ROLLT,Industrial Products,1.03,,35.88,,-0.05,82.33,,-6.87,25.76,-59.29,-22.57,-10.77,,,0.07,-5.13,-3.4,-2.01,-0.64,82.33,-2027.61,616.47,,,25.29,14.34,25.29,14.34,9.94,0,-5.82,-13.44,23.95,,9.11,-81.73,28.71,163.85,56.11,242.18,-11.56,-157.61,0,11.21,-43.24,-2.52,-35.06,-2.95,-42.01,1.46,47.53,0.96,2.18,0.46,1.73,0
Rolta India,500366,ROLTA,IT - Services,2,,2738.38,,-1.55,2.76,,-7.09,33.18,-51.92,-19.73,-26.32,,,229.05,-4.69,-17.96,-4.38,-10.86,,-265311.36,1440.79,,,25.38,14.56,25.38,14.56,8.54,0,-23.61,-632.32,27.45,15.35,-53.04,-96.93,9731.02,8655.38,1369.61,5672.26,-11256.73,-9904.79,1249.59,10845.99,-12719.74,19.67,25.56,19.71,0.67,222.46,255.69,-471.05,-410.72,,,0
Roni Households,542145,,Commercial Services & Supplies,52.03,,30.13,3.65,0.56,69.2,93.44,40.16,59.8,91.43,22.44,-0.73,3.64,3.49,1.16,0.55,1.88,4.63,5.39,69.2,355.4,328.17,16.8,,35.86,,34.99,,,0.45,,,119.47,,,17.74,7.12,,4.48,,5.31,,3.13,4.76,19.33,-10.32,,-9.38,,5.15,,6.4,,,,0
Roopa Industries,530991,,Pharmaceuticals & Biotechnology,54.01,9.68,76.46,2.43,2.59,22.92,20.82,-6.47,42.48,-32.16,42.63,-2.93,10.84,0.35,4.62,-6.58,2.6,12.4,3.3,25.27,15.55,38.84,33.08,34.28,25.79,40.56,25.79,40.56,24.82,0,3.67,1.31,22.35,17.03,19.15,48.74,11.97,13.51,9.69,10.53,7.26,8.6,7.93,33.27,16.53,-11.12,-10.88,-10.24,-8.42,2.3,7.29,16.01,14.71,2.4,1.23,0
Roopshri Resorts,542599,,Leisure Services,56.13,1.51,16.84,2.6,0.62,86.31,90.04,11.32,40.52,50.85,,37.38,2.54,27.75,9.35,3.27,2.22,2.86,5.94,86.31,-113.6,0,53.97,48.82,68.83,114.11,57.05,97.41,,4.8,0.22,0.16,122.4,104.77,,65,0,0,0.6,0.18,0.86,1.89,1.79,0.98,8.3,0.48,-0.37,1.51,1.6,-0.21,-1.15,15.45,15.78,36,,0
Rose Merc.,512115,,Commercial Services & Supplies,82.81,,86.95,1.22,3.11,52.29,27.42,-15.13,45.79,-38.89,,41.71,,0.45,8.6,-3.13,,17.29,4.03,52.29,484.27,63.45,,,,,,,,-0.59,,,,,,313.28,,,,,,,26.53,1.95,38.11,-14.04,,-13.63,,-8.67,,,,,,
Roselabs Finance,531324,,Finance,28.74,,0.23,,-0.3,865,,-89.81,28.74,2.72,28.32,22.07,,40.48,0.12,-0.32,-136.36,-169.13,170.44,865,-13.15,429.04,,,10.27,,10.27,,4.11,0,-0.28,-0.24,10.27,,,-100,4.93,4.49,0,0,-1.55,-4.49,0,4.93,0.1,0.08,-0.5,0.08,-0.5,0,0.16,-6.32,-5.88,,,0
Rossari Biotech,543213,ROSSARI,Chemicals & Petrochemicals,626,14.06,1885.67,2.92,24.41,41.65,25.66,25.23,3465.97,-29.02,-4.83,-14.35,12.61,1.62,57.16,-21.05,8.3,17.45,5.6,41.43,62.49,81.99,11.94,28.23,11.95,15.88,11.74,13.88,,-0.39,164.43,110.01,11.22,20.05,,13.64,8.43,66.93,607.14,93.54,303.09,163.89,598.35,218,448.05,16.79,1.71,332.26,409.39,-467.47,-803.53,146.24,78.72,7.85,6.05,0
Rossell India,533168,ROSSELLIND,Agricultural Food & other Products,65.64,9.56,307.12,1.3,5.39,10.88,12.11,7.6,247.44,-58.79,10.96,-11.21,7.08,1.27,0.67,16.55,4.48,7.26,2.9,11.15,-46.35,18.34,-15.32,-10.11,-5.74,0.94,-6.58,0.39,109.15,-0.11,33.51,21.25,-15.3,-10.98,10.12,4.19,153.45,194.82,234.12,165.83,5.04,-49.61,208.69,86.22,-46.29,15.55,65.95,62.09,131.24,-143.05,-147,67.07,58.84,0.72,0.89,0
Rossell Techsys,544294,ROSSTECH,Aerospace & Defense,715.15,,422.9,20.18,4.05,0.21,176.78,-63.8,2695.86,,,,,8.93,4.08,-56.6,,8.18,11.72,0.21,29.56,102.93,,,,,,,,,,,,,,19.69,,,,,,,114.41,240.34,21.74,,,,,,,,,,,
Roto Pumps,517500,ROTO,Industrial Products,84.1,20.61,319.7,7.18,1.83,23.86,45.87,43.81,1584.83,-11.08,57.42,29.29,19.81,5.25,29.51,15.48,12.66,22.99,10.77,30.6,74.25,83.42,18.73,17.33,3.88,22.77,3.88,22.4,21.06,-2.24,45.11,30.86,10.24,21.39,16.27,21.58,33.95,17.07,66.95,43.86,76.52,41.61,119.49,44.86,105.09,18.62,38.66,104.54,148.69,-84.19,-104.88,7.13,5.57,0.67,0.48,70.86
Route Mobile,543228,ROUTE,Telecom - Services,861.05,17.27,3812.17,2.23,46.6,30.85,17.73,9,5424.41,-46.12,,-16.21,16.95,1.2,1332.73,583.36,11.14,20.16,5.2,30.85,15.99,81.12,31.72,36.77,25.92,36.2,25.95,30.05,27.27,15.04,344.88,264.01,33.8,38.56,33.42,42.37,16.22,53.17,952.27,175.62,994.02,45.96,817.59,468.17,1425.43,485.32,817.29,578.1,934.81,-151.39,-1196.96,265.3,112.99,,,91.06
ROX Hi-Tech,,ROXHITECH,IT - Services,48,,205.78,1,8.73,5.25,5.5,-3.19,109.61,-60.66,,,,0.58,27.45,23.97,,0,3.47,5.25,102.18,147.39,,,,,,,,,,,,,,,,,,,,,15.25,46.58,79.93,,,,,,,,,,,
Royal Arc Ele.,,ROYALARC,Industrial Products,143,,80.85,2.21,8.12,14.26,16.92,32.86,158.73,,,,26.12,1.56,19.3,4.83,20.5,37.47,6.89,14.26,80.31,70.89,17.39,,64.43,,-10,,,,,,41.46,,,3.02,7.81,,14.54,,8.85,,19.72,0.81,48.9,16.8,,23.05,,-14.92,,,,,,0
Royal Cush. Vin.,526193,,Consumer Durables,23.8,,85.55,,0.56,6.87,42.48,-4.8,87.08,-30.02,53.42,32.77,,1.44,0.72,-19.24,-21.78,12.64,1.56,9.18,-472.34,41,-2.51,0.45,28.97,19.8,26.99,16.59,11.21,-26.25,-5.51,-8.81,37.01,49.92,29.46,5.03,305.34,333.58,12.76,17.13,-56.44,-79.49,48.3,84.49,-39.81,-103.02,-101.04,-127.92,-137.27,25.25,37.05,-334.53,-373.59,6.63,5.25,0
Royal India Corp,512047,,Consumer Durables,6.44,,225.23,0.91,1.32,5.7,4.89,-3.02,70.5,-82.04,47.26,35.48,,0.28,1.15,-23.38,-0.6,3.41,2.94,5.7,670.38,620.26,399.07,1.86,49.76,22.08,31.74,16.54,12.83,-7.92,2.97,-3.37,188.62,31.99,70.31,-18.06,131.63,107.57,0.01,0,92.07,94.28,0.15,101.16,111.5,-27.05,-49.69,-26.85,-49.48,-39.43,-39.79,-4.28,-0.82,0.01,0,0
Royal Orch.Hotel,532699,ROHLTD,Leisure Services,542.7,14.81,538.18,6.45,18.01,21.69,30.14,60.23,1488.37,49.4,50.28,28.53,26.35,4.58,56.79,1.39,11.11,20.54,6.16,21.14,-45.8,42.6,32.12,9.28,89.61,57.08,89.61,57.08,46.22,-3.79,46.1,24.62,32.95,16.14,13.25,11.41,148.51,151.58,192.73,307.08,4.82,-19.11,252.91,221.3,21.57,93.78,118.28,139.6,166.7,-68.08,-81.73,45.65,51.19,16.18,11.42,0
Royal Sense,544143,,Healthcare Equipment & Supplies,273,,35.56,4.89,12.74,19.74,23.07,129.32,146.06,87.11,,,,2.37,11.25,-0.48,,35.18,11.09,19.74,133.69,76.06,,,,,,,,,,,,,,246.8,,,,,,,1.65,3.25,25.64,,,,,,,,,,,
Royale Manor,526640,,Leisure Services,49.16,4.53,71.19,1.59,1.45,18.28,33.85,1081.52,97.5,10.72,31.93,25.28,6.77,4.26,4.03,-4.98,5.49,9.17,4.14,22.61,85.55,26.73,19.38,1.55,49.92,4.23,44.84,0.99,0.76,5.07,4,2.29,23.63,3.93,1.5,5.78,8.96,8.11,18.6,19.94,8.82,6.07,22.36,5.84,12.29,5.02,4.01,13.09,12.53,-2.69,-1.56,25.93,26.07,0.71,0.45,0
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals & Biotechnology,2377.9,23.97,657.81,7.41,110.51,22.93,37.97,50.39,3932.81,2.5,45.89,46.66,25.17,5.99,139.61,151.3,18.75,33.54,12.85,23.37,34.21,35.3,14.08,11.71,31.46,28.54,31.46,28.54,35.97,0.54,97.87,72.31,23.89,22.73,23.21,13.11,0.94,11.72,103.71,122.89,126.8,43.19,171.83,0,219.52,234.75,325.36,263.04,386.06,-226.76,-269.38,154.65,130.87,2.19,2.71,0
RPP Infra Proj.,533284,RPPINFRA,Construction,144.67,9.39,953.45,1.35,12.16,11.94,11.9,87.29,717.36,-35.62,28.8,51.44,12.17,0.5,22.38,-34.09,5.92,18.02,4.15,10.85,68.71,51.73,21.54,19.13,131.24,29.15,109.07,21.27,22.1,-12.11,65.73,33.96,39.44,10.98,5.91,29.77,93.86,96.99,61.83,48.21,237.85,239.25,105.38,44.01,274.57,23.19,80.83,90.73,174.82,-54.05,-73.96,91.87,75.78,12.47,6.84,0
