Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Ginni Filaments,590025,GINNIFILA,Textiles & Apparels,46.22,2.38,335.98,1.99,1.73,13.66,13.93,38.23,395.87,38.09,29.38,7.22,-7.74,1.03,6.39,6.37,-2.95,5.13,4.48,12.26,62.99,75.87,-34.85,-17.58,-26.55,44.97,-26.55,39.49,25.02,-0.01,47.65,5.7,-30.89,-9.06,-5.72,-5.43,327.5,312.22,268.92,223.58,108.73,34.31,121.98,74.25,69.81,321.1,344.39,172.45,285.05,153.76,60.9,34.18,30.15,3.32,2.79,0
Giriraj Civil,,GIRIRAJ,Construction,330,11.9,290.88,6.02,7.47,35.14,44.15,-121.15,789.38,-14.45,138.46,148.13,12.16,2.68,7.68,-10.43,6.11,15.3,6.72,45.48,98.06,80.13,52.51,64.54,70.46,81.81,49.69,68.18,28.27,-13.09,12.4,7.53,63.76,54.24,25.26,41.56,17.88,17.8,0.79,0.65,5.55,18.1,12.1,17.41,101.7,-71.86,-48.6,-57.48,-33.93,6.49,-13.77,21.08,18.39,3.3,3.25,0
Gita Renewable,539013,,Power,111.4,2.01,13.62,3.49,-0.75,27.63,,-4567.4,45.81,-31.04,82.39,-7.47,4.35,1527,0.13,-0.01,1.95,2.26,6.64,27.63,-433.8,693.07,-37,-30.12,,12.19,,12.19,8.82,-3.17,0.27,0.25,,,,-33.33,26.44,0,0,18.62,12.88,-36.79,0,0,-0.22,14.38,-27.25,14.38,-32.9,7.76,31.56,38.79,8.54,,,0
GKB Ophthalmics,533212,,Healthcare Equipment & Supplies,72.64,-2.86,125.21,0.7,-15.51,22.55,,-10.59,36.61,-38.34,4.68,-13.5,-5.6,0.32,13.82,-5.54,-2.83,-1.66,2.2,22.55,103.27,112.33,15.39,13.24,,,,,,-8.67,0.4,-1.74,,,,16.93,11.75,15.16,22.65,26.33,36.84,31.57,17.03,14.5,37,-5.13,-3.82,-1.98,9.95,2.27,-18.03,125.18,124.29,1.27,1.17,0
GKW,,GKWLIMITED,Finance,1749,0.52,3184.56,0.41,-11.53,35.91,,-5.17,1044.15,-46.83,27.21,43.79,0.06,27.74,213.82,-201.72,0.06,0.35,1.78,39.38,177.84,0.09,11.01,24.57,,,,,,0,14.27,8.9,,,,-15.15,0.1,1.38,2549.84,16.31,39.49,1.37,2630.59,0.43,291.77,-198.61,-199.75,-187.64,-185.39,192.05,189.35,3823.93,569.52,,,0
Glance Finance,531199,,Finance,180.65,5.41,53.22,0.91,7.09,11.58,25.47,3.5,40.75,69.07,29.19,46.55,4.13,1.62,0.14,13.2,2.76,7.49,3.08,12.12,97.28,24.48,47.86,36.41,3.08,80.51,3.08,80.51,36.34,0,3.16,1.47,20.72,110.73,47,9.38,8.9,1.61,17.56,2.98,5.53,2.94,17.19,3.66,-0.9,13.04,2.55,28.14,34.04,-19.11,-31.38,107.05,89.54,0.04,-0.1,0
Gland Pharma,543245,GLAND,Pharmaceuticals & Biotechnology,1892.2,12.44,11172.86,3.41,46.75,40.01,40.47,34.09,31175.21,-0.72,,-8.72,9.22,5.45,2556.21,520.9,8.08,13.41,7.04,40.01,189.96,95.58,8.47,16.36,-16.73,-1.69,-16.81,-2.89,,-6.04,1267,899.16,-5.04,6.58,,27.08,4.74,4.96,1502.19,968.1,5115.18,2487.27,4147.23,313.73,5218.09,1261.2,1906.83,2275.5,3671.2,1179.87,-1339.86,435.64,360.85,1.79,1.54,0
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals & Biotechnology,2770.3,44.83,4108.07,24.05,56.09,56.66,49.56,36.38,46930.55,-2.16,11.25,24.83,36.39,12.55,1403.52,1272.6,18.9,50.33,21,56.06,-73.19,24.51,4.58,3.06,-19.63,34.71,-19.63,34.71,14.38,0,861.48,855.93,14.47,11.33,12.14,6.21,20.08,0.18,330.65,758.08,1644.01,750.63,283.65,9.95,386.48,2297.29,5204.49,2356.15,3744.81,770.76,783.28,157.19,87.26,2.56,2.49,0
Gleam Fabmat,542477,,Commercial Services & Supplies,10.64,-0.04,31.88,1.08,0.01,51,1066,-81.85,10.66,54.65,,,0.1,0.87,0.05,-0.13,0.05,0.15,1.84,51,3763.99,2848.29,44.19,18.94,44.22,17.61,44.22,17.61,,-45.16,0.01,0,,-35.07,,-83.15,5.19,5.2,0.01,0.02,12.77,12.79,0.02,5.39,12.8,-0.18,-0.14,-0.13,-0.09,-0.05,-0.05,9.82,9.83,1.21,7.75,0
GLEN Industries,544444,,Industrial Products,110,,160.3,,10.4,10.81,14.49,53.77,264.68,,,,29.56,1.55,0.82,-30.02,6.51,16.83,4.76,10.81,-0.5,59.48,22.84,,71.06,,-33.47,,,,,,44.28,,,22.21,76.89,,55.26,,5.01,,80.44,93.54,1.8,-33.15,,29.02,,-62.57,,,,,,62.16
